Codice1;Codice2;Colore;Collezione;Materiale
10JA;10JA;FC_BROWN;NEWPORT;PELLE
10JA;10JA;MARRONE MEDIO;NEWPORT;PELLE
10JB;10JB;BORDEAUX;NEWPORT;PELLE
10JB;10JB;FC_BURGUNDY;NEWPORT;PELLE
10JC;10JC;CASTAGNO;NEWPORT;PELLE
10JC;10JC;FC_BROWN;NEWPORT;PELLE
10JD;10JD;FC_TAUPE;NEWPORT;PELLE
10JD;10JD;TORTORA;NEWPORT;PELLE
10JE;10JE;VERDE SALVIA;NEWPORT;PELLE
10JF;10JF;MARRONE;DOVER;PELLE
10JG;10JG;BEIGE;DOVER;PELLE
10JH;10JH;NERO;DOVER;PELLE
10KA;10KA;BIANCO;BELFAST;PELLE
10KA;10KA;FC_WHITE;BELFAST;PELLE
10KB;10KB;BEIGE 2;BELFAST;PELLE
10KB;10KB;FC_BEIGE;BELFAST;PELLE
10KC;10KC;FC_TAUPE;BELFAST;PELLE
10KC;10KC;TORTORA;BELFAST;PELLE
10KD;10KD;FC_GREEN;BELFAST;PELLE
10KD;10KD;VERDE SALVIA 2;BELFAST;PELLE
10KE;10KE;FC_BURGUNDY;BELFAST;PELLE
10KE;10KE;VIOL.BOR.;BELFAST;PELLE
10KF;10KF;FC_BLACK;BELFAST;PELLE
10KF;10KF;NERO;BELFAST;PELLE
10KG;10KG;CREMA;BELFAST;PELLE
10KG;10KG;FC_BEIGE;BELFAST;PELLE
10KH;10KH;FC_YELLOW;BELFAST;PELLE
10KH;10KH;GIALLO AVENA;BELFAST;PELLE
10KI;10KI;FC_GREEN;BELFAST;PELLE
10KI;10KI;VERDE SALVIA;BELFAST;PELLE
10KL;10KL;FC_RED;BELFAST;PELLE
10KL;10KL;ROSSO POMPEIANO;BELFAST;PELLE
10KM;10KM;BEIGE 2;BELFAST;PELLE
10KM;10KM;FC_BEIGE;BELFAST;PELLE
10KN;10KN;BLU;BELFAST;PELLE
10KN;10KN;FC_BLUE;BELFAST;PELLE
10KQ;10KQ;MARRONE SCURO;BELFAST;PELLE
10KR;10KR;NERO;BELFAST;PELLE
10KS;10KS;BIANCO AVORIO;BELFAST;PELLE
10KT;10KT;GRIGIO CHIARO;BELFAST;PELLE
10KU;10KU;GESSO;BELFAST;PELLE
10KV;10KV;ROSSO CORALLO;BELFAST;PELLE
10KZ;10KZ;BEIGE;BELFAST;PELLE
10LA;10LA;FC_BROWN;ROCKINGHAM;PELLE
10LA;10LA;MARRONE CHIARO;ROCKINGHAM;PELLE
10LB;10LB;BORDEAUX;ROCKINGHAM;PELLE
10LC;10LC;FC_BROWN;ROCKINGHAM;PELLE
10LC;10LC;MARRONE SCURO;ROCKINGHAM;PELLE
10LD;10LD;FC_BROWN;ROCKINGHAM;PELLE
10LD;10LD;NOCCIOLA;ROCKINGHAM;PELLE
10LE;10LE;VERDE;ROCKINGHAM;PELLE
10LF;10LF;COGNAC;ROCKINGHAM;PELLE
10LG;10LG;OFF WHITE;RELY;PELLE
10LH;10LH;BLACK;RELY;PELLE
10LI;10LI;BROWN;RELY;PELLE
10MA;10MA;CANNELLA;SELE;PELLE
10MD;10MD;MARRONE;SELE;PELLE
10ME;10ME;BORDEAUX;SELE;PELLE
10NB;10NB;CARAMELLO;SAVONE;PELLE
10NC;10NC;FC_BROWN;SAVONE;PELLE
10NC;10NC;MARRONE;SAVONE;PELLE
10ND;10ND;BORDEAUX;SAVONE;PELLE
10ND;10ND;FC_BURGUNDY;SAVONE;PELLE
10NE;10NE;CIOCCOLATO;SAVONE;PELLE
10NE;10NE;FC_BROWN;SAVONE;PELLE
10NF;10NF;FC_GREEN;SAVONE;PELLE
10NF;10NF;VERDE;SAVONE;PELLE
10QA;10QA;FC_RED;RODEO;PELLE
10QA;10QA;ROSSO;RODEO;PELLE
10QC;10QC;BORDEAUX;RODEO;PELLE
10QC;10QC;FC_BURGUNDY;RODEO;PELLE
10QD;10QD;FC_BROWN;RODEO;PELLE
10QD;10QD;MARRONE CHIARO;RODEO;PELLE
10QE;10QE;FC_BROWN;RODEO;PELLE
10QE;10QE;TESTA DI MORO;RODEO;PELLE
10QF;10QF;BLU;RODEO;PELLE
10QF;10QF;FC_BLUE;RODEO;PELLE
10RA;10RA;BEIGE;PO;PELLE
10RA;10RA;FC_BEIGE;PO;PELLE
